time,strain,signal_type,experiment_type,signal_value
0.4166666667,HXT4_GFP_rgt2_delta,processed_cy5,hat_glucose_0p2_percent,784.305137825
0.4166666667,HXT4_GFP_snf3_delta,cy5,hat_glucose_0p2_percent,619.75864875
0.4166666667,HXT4_GFP_snf3_delta,fluorescence,hat_glucose_0p2_percent,0.12556850555
0.4166666667,HXT4_GFP_snf3_delta,fluorescence_sem,hat_glucose_0p2_percent,0.030945194085000002
0.4166666667,HXT4_GFP_snf3_delta,glucose_proxy,hat_glucose_0p2_percent,0.0
0.4166666667,HXT4_GFP_snf3_delta,processed_cy5,hat_glucose_0p2_percent,616.6226679250001
0.4166666667,HXT4_GFP_std1_delta,cy5,hat_glucose_0p2_percent,621.56785715
0.4166666667,HXT4_GFP_std1_delta,fluorescence,hat_glucose_0p2_percent,0.12271327015
0.4166666667,HXT4_GFP_std1_delta,fluorescence_sem,hat_glucose_0p2_percent,0.04336538541
0.4166666667,HXT4_GFP_std1_delta,glucose_proxy,hat_glucose_0p2_percent,0.0
0.4166666667,HXT4_GFP_std1_delta,processed_cy5,hat_glucose_0p2_percent,618.1817898500001
0.5,HXT4_GFP,cy5,hat_glucose_0p2_percent,743.9527879
0.5,HXT4_GFP,fluorescence,hat_glucose_0p2_percent,0.04883953519400001
0.5,HXT4_GFP,fluorescence_sem,hat_glucose_0p2_percent,0.052498607362
0.5,HXT4_GFP,glucose_proxy,hat_glucose_0p2_percent,0.0
0.5,HXT4_GFP,processed_cy5,hat_glucose_0p2_percent,737.5309262999999
0.5,HXT4_GFP_mig1_delta,cy5,hat_glucose_0p2_percent,850.04489795
0.5,HXT4_GFP_mig1_delta,fluorescence,hat_glucose_0p2_percent,0.033303042255
0.5,HXT4_GFP_mig1_delta,fluorescence_sem,hat_glucose_0p2_percent,0.045533073495
0.5,HXT4_GFP_mig1_delta,glucose_proxy,hat_glucose_0p2_percent,0.0
0.5,HXT4_GFP_mig1_delta,processed_cy5,hat_glucose_0p2_percent,879.7093518499998
0.5,HXT4_GFP_mth1_delta,cy5,hat_glucose_0p2_percent,863.3405263
0.5,HXT4_GFP_mth1_delta,fluorescence,hat_glucose_0p2_percent,5.029335834499999
0.5,HXT4_GFP_mth1_delta,fluorescence_sem,hat_glucose_0p2_percent,0.675503457
0.5,HXT4_GFP_mth1_delta,glucose_proxy,hat_glucose_0p2_percent,1.6308327726192686e-18
0.5,HXT4_GFP_mth1_delta,processed_cy5,hat_glucose_0p2_percent,819.1245888000001
0.5,HXT4_GFP_rgt2_delta,cy5,hat_glucose_0p2_percent,819.725
0.5,HXT4_GFP_rgt2_delta,fluorescence,hat_glucose_0p2_percent,0.013892935995
0.5,HXT4_GFP_rgt2_delta,fluorescence_sem,hat_glucose_0p2_percent,0.051139786699999995
0.5,HXT4_GFP_rgt2_delta,glucose_proxy,hat_glucose_0p2_percent,0.0
0.5,HXT4_GFP_rgt2_delta,processed_cy5,hat_glucose_0p2_percent,784.305137825
0.5,HXT4_GFP_snf3_delta,cy5,hat_glucose_0p2_percent,619.39468865
0.5,HXT4_GFP_snf3_delta,fluorescence,hat_glucose_0p2_percent,0.00910990391
0.5,HXT4_GFP_snf3_delta,fluorescence_sem,hat_glucose_0p2_percent,0.03075103127
0.5,HXT4_GFP_snf3_delta,glucose_proxy,hat_glucose_0p2_percent,0.0
0.5,HXT4_GFP_snf3_delta,processed_cy5,hat_glucose_0p2_percent,616.6226679250001
0.5,HXT4_GFP_std1_delta,cy5,hat_glucose_0p2_percent,621.43035715
0.5,HXT4_GFP_std1_delta,fluorescence,hat_glucose_0p2_percent,0.01206240096
0.5,HXT4_GFP_std1_delta,fluorescence_sem,hat_glucose_0p2_percent,0.03994917559
0.5,HXT4_GFP_std1_delta,glucose_proxy,hat_glucose_0p2_percent,0.0
0.5,HXT4_GFP_std1_delta,processed_cy5,hat_glucose_0p2_percent,618.1817898500001
0.5833333333,HXT4_GFP,cy5,hat_glucose_0p2_percent,845.2307482599999
0.5833333333,HXT4_GFP,fluorescence,hat_glucose_0p2_percent,0.027479814157799997
0.5833333333,HXT4_GFP,fluorescence_sem,hat_glucose_0p2_percent,0.044405569096000005
0.5833333333,HXT4_GFP,glucose_proxy,hat_glucose_0p2_percent,0.0
0.5833333333,HXT4_GFP,processed_cy5,hat_glucose_0p2_percent,737.5309262999999
0.5833333333,HXT4_GFP_mig1_delta,cy5,hat_glucose_0p2_percent,1123.497936
0.5833333333,HXT4_GFP_mig1_delta,fluorescence,hat_glucose_0p2_percent,0.0
0.5833333333,HXT4_GFP_mig1_delta,fluorescence_sem,hat_glucose_0p2_percent,0.048652172595
0.5833333333,HXT4_GFP_mig1_delta,glucose_proxy,hat_glucose_0p2_percent,0.0
0.5833333333,HXT4_GFP_mig1_delta,processed_cy5,hat_glucose_0p2_percent,879.7093518500001
0.5833333333,HXT4_GFP_mth1_delta,cy5,hat_glucose_0p2_percent,1081.18421055
0.5833333333,HXT4_GFP_mth1_delta,fluorescence,hat_glucose_0p2_percent,4.577331989999999
0.5833333333,HXT4_GFP_mth1_delta,fluorescence_sem,hat_glucose_0p2_percent,0.64226995305
0.5833333333,HXT4_GFP_mth1_delta,glucose_proxy,hat_glucose_0p2_percent,1.6308327726192686e-18
0.5833333333,HXT4_GFP_mth1_delta,processed_cy5,hat_glucose_0p2_percent,819.1245888000001
0.5833333333,HXT4_GFP_rgt2_delta,cy5,hat_glucose_0p2_percent,809.3382353
0.5833333333,HXT4_GFP_rgt2_delta,fluorescence,hat_glucose_0p2_percent,0.017492059155
0.5833333333,HXT4_GFP_rgt2_delta,fluorescence_sem,hat_glucose_0p2_percent,0.051211384615
0.5833333333,HXT4_GFP_rgt2_delta,glucose_proxy,hat_glucose_0p2_percent,0.0
0.5833333333,HXT4_GFP_rgt2_delta,processed_cy5,hat_glucose_0p2_percent,784.305137825
0.5833333333,HXT4_GFP_snf3_delta,cy5,hat_glucose_0p2_percent,618.8080993
0.5833333333,HXT4_GFP_snf3_delta,fluorescence,hat_glucose_0p2_percent,0.0
0.5833333333,HXT4_GFP_snf3_delta,fluorescence_sem,hat_glucose_0p2_percent,0.02882609275
0.5833333333,HXT4_GFP_snf3_delta,glucose_proxy,hat_glucose_0p2_percent,0.0
0.5833333333,HXT4_GFP_snf3_delta,processed_cy5,hat_glucose_0p2_percent,616.6226679250001
0.5833333333,HXT4_GFP_std1_delta,cy5,hat_glucose_0p2_percent,621.99404765
0.5833333333,HXT4_GFP_std1_delta,fluorescence,hat_glucose_0p2_percent,0.0
0.5833333333,HXT4_GFP_std1_delta,fluorescence_sem,hat_glucose_0p2_percent,0.045049311575
0.5833333333,HXT4_GFP_std1_delta,glucose_proxy,hat_glucose_0p2_percent,0.0
0.5833333333,HXT4_GFP_std1_delta,processed_cy5,hat_glucose_0p2_percent,618.1817898500001
0.6666666667,HXT4_GFP,cy5,hat_glucose_0p2_percent,822.84123134
0.6666666667,HXT4_GFP,fluorescence,hat_glucose_0p2_percent,0.0410781401326
0.6666666667,HXT4_GFP,fluorescence_sem,hat_glucose_0p2_percent,0.048561515472
0.6666666667,HXT4_GFP,glucose_proxy,hat_glucose_0p2_percent,0.0
0.6666666667,HXT4_GFP,processed_cy5,hat_glucose_0p2_percent,737.5309263
0.6666666667,HXT4_GFP_mig1_delta,cy5,hat_glucose_0p2_percent,1124.7899158
0.6666666667,HXT4_GFP_mig1_delta,fluorescence,hat_glucose_0p2_percent,0.0510428308
0.6666666667,HXT4_GFP_mig1_delta,fluorescence_sem,hat_glucose_0p2_percent,0.047917261924999996
0.6666666667,HXT4_GFP_mig1_delta,glucose_proxy,hat_glucose_0p2_percent,0.0
0.6666666667,HXT4_GFP_mig1_delta,processed_cy5,hat_glucose_0p2_percent,879.7093518500001
0.6666666667,HXT4_GFP_mth1_delta,cy5,hat_glucose_0p2_percent,982.5931174499999
0.6666666667,HXT4_GFP_mth1_delta,fluorescence,hat_glucose_0p2_percent,4.456097958
0.6666666667,HXT4_GFP_mth1_delta,fluorescence_sem,hat_glucose_0p2_percent,0.5944571357
0.6666666667,HXT4_GFP_mth1_delta,glucose_proxy,hat_glucose_0p2_percent,3.261665545238537e-18
0.6666666667,HXT4_GFP_mth1_delta,processed_cy5,hat_glucose_0p2_percent,819.1245888000001
0.6666666667,HXT4_GFP_rgt2_delta,cy5,hat_glucose_0p2_percent,802.9605263000001
0.6666666667,HXT4_GFP_rgt2_delta,fluorescence,hat_glucose_0p2_percent,0.004734920164
0.6666666667,HXT4_GFP_rgt2_delta,fluorescence_sem,hat_glucose_0p2_percent,0.054905904635
0.6666666667,HXT4_GFP_rgt2_delta,glucose_proxy,hat_glucose_0p2_percent,0.0
0.6666666667,HXT4_GFP_rgt2_delta,processed_cy5,hat_glucose_0p2_percent,784.305137825
0.6666666667,HXT4_GFP_snf3_delta,cy5,hat_glucose_0p2_percent,619.1286121
0.6666666667,HXT4_GFP_snf3_delta,fluorescence,hat_glucose_0p2_percent,0.0
0.6666666667,HXT4_GFP_snf3_delta,fluorescence_sem,hat_glucose_0p2_percent,0.028957804895
0.6666666667,HXT4_GFP_snf3_delta,glucose_proxy,hat_glucose_0p2_percent,0.0
0.6666666667,HXT4_GFP_snf3_delta,processed_cy5,hat_glucose_0p2_percent,616.6226679250001
0.6666666667,HXT4_GFP_std1_delta,cy5,hat_glucose_0p2_percent,620.55066445
0.6666666667,HXT4_GFP_std1_delta,fluorescence,hat_glucose_0p2_percent,0.0
0.6666666667,HXT4_GFP_std1_delta,fluorescence_sem,hat_glucose_0p2_percent,0.04254768541
0.6666666667,HXT4_GFP_std1_delta,glucose_proxy,hat_glucose_0p2_percent,0.0
0.6666666667,HXT4_GFP_std1_delta,processed_cy5,hat_glucose_0p2_percent,618.1817898500001
0.75,HXT4_GFP,cy5,hat_glucose_0p2_percent,786.2823510000001
0.75,HXT4_GFP,fluorescence,hat_glucose_0p2_percent,0.038483370446
0.75,HXT4_GFP,fluorescence_sem,hat_glucose_0p2_percent,0.048906152292
0.75,HXT4_GFP,glucose_proxy,hat_glucose_0p2_percent,0.0
0.75,HXT4_GFP,processed_cy5,hat_glucose_0p2_percent,737.5309263
0.75,HXT4_GFP_mig1_delta,cy5,hat_glucose_0p2_percent,1014.46209175
0.75,HXT4_GFP_mig1_delta,fluorescence,hat_glucose_0p2_percent,0.031946652075
0.75,HXT4_GFP_mig1_delta,fluorescence_sem,hat_glucose_0p2_percent,0.04401040581
0.75,HXT4_GFP_mig1_delta,glucose_proxy,hat_glucose_0p2_percent,0.0
0.75,HXT4_GFP_mig1_delta,processed_cy5,hat_glucose_0p2_percent,879.7093518500001
0.75,HXT4_GFP_mth1_delta,cy5,hat_glucose_0p2_percent,911.5091091500001
0.75,HXT4_GFP_mth1_delta,fluorescence,hat_glucose_0p2_percent,4.101506388500001
0.75,HXT4_GFP_mth1_delta,fluorescence_sem,hat_glucose_0p2_percent,0.5393234608
0.75,HXT4_GFP_mth1_delta,glucose_proxy,hat_glucose_0p2_percent,1.6308327726192686e-18
0.75,HXT4_GFP_mth1_delta,processed_cy5,hat_glucose_0p2_percent,819.1245888000001
0.75,HXT4_GFP_rgt2_delta,cy5,hat_glucose_0p2_percent,800.2605263
0.75,HXT4_GFP_rgt2_delta,fluorescence,hat_glucose_0p2_percent,0.01368134283
0.75,HXT4_GFP_rgt2_delta,fluorescence_sem,hat_glucose_0p2_percent,0.05569318653000001
0.75,HXT4_GFP_rgt2_delta,glucose_proxy,hat_glucose_0p2_percent,0.0
